Repository Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
ohana-api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,14,17,5,13,7,9,4,12,2,1,10,8,0,25,21,36,29,3,6,10,2,1,11,10,22,0,4,0,0,0,0,0
ohana-web-search,0,0,0,0,0,0,0,0,0,0,0,0,14,2,17,6,30,33,64,82,16,9,33,16,24,9,20,63,55,39,80,18,37,73,43,24,58,31,17,11,39,16,13,9,30,32,11,1,0,0,0,0,0
cityvoice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,13,0,0,98,5,11,25,63,67,33,12,0,62,48,57,68,16,3,6,0,30,1,1,4,0,0,0,0,0
promptly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,76,0,0,34,32,45,93,14,2,17,28,4,25,31,15,41,2,14,78,67,43,43,28,7,13,11,11,0,3,0,0,0,0,0
public-records,0,0,0,0,0,0,0,0,0,0,0,0,17,37,16,83,53,20,48,50,39,61,64,37,22,44,33,56,51,28,64,36,26,50,94,53,91,63,120,48,59,9,75,72,32,20,2,0,0,0,0,0,0
bizfriendly-web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,3,19,9,43,45,32,19,14,13,9,14,8,50,31,18,44,24,6,0,0,0,0,0,0,0
bizfriendly-api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,14,0,10,6,0,0,0,0,6,3,21,6,5,10,3,12,2,9,15,14,14,15,9,6,8,3,7,15,9,2,0,0,0,0,0,0,0
lv-trucks-map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,34,20,36,30,10,5,42,10,5,1,0,1,5,0,0,1,0,0,3,1,16,3,1,1,0,0,0,0,0
lv-trucks-notifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food_trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,1,2,5,1,0,6,0,4,2,1,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0
fast_pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,32,31,35,31,57,3,9,20,28,3,2,13,0,0,0,0,0
in-n-out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,1,1,3,0,0,9,6,10,26,81,229,136,41,185,21,160,275,135,73,13,0,0,0,0,0,0
criminal_case_search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,2,0,2,4,4,0,7,19,23,0,0,4,0,11,45,5,16,54,9,32,15,104,1,0,2,1,2,6,0,0,0,0,0,0
trailsyserver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,17,29,20,28,0,22,52,17,60,44,0,0,0,0,0,0,0
trailsy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,25,2,10,43,15,33,17,0,7,4,6,7,10,63,30,69,81,209,110,0,0,0,0,0,0,0
